GitHub Username,Name,Commits,Contributor URL
rafaelfranca,Rafael Mendonça França,12734,https://contributors.rubyonrails.org/contributors/rafael-mendonca-franca/commits
tenderlove,Aaron Patterson,6583,https://contributors.rubyonrails.org/contributors/aaron-patterson/commits
kamipo,Ryuta Kamizono,5192,https://contributors.rubyonrails.org/contributors/ryuta-kamizono/commits
dhh,David Heinemeier Hansson,4922,https://contributors.rubyonrails.org/contributors/david-heinemeier-hansson/commits
jeremy,Jeremy Daer,4421,https://contributors.rubyonrails.org/contributors/jeremy-daer/commits
byroot,Jean Boussier,3295,https://contributors.rubyonrails.org/contributors/jean-boussier/commits
fxn,Xavier Noria,3244,https://contributors.rubyonrails.org/contributors/xavier-noria/commits
josevalim,José Valim,3014,https://contributors.rubyonrails.org/contributors/jose-valim/commits
eileencodes,Eileen M. Uchitelle,2514,https://contributors.rubyonrails.org/contributors/eileen-m-uchitelle/commits
jonathanhefner,Jonathan Hefner,2354,https://contributors.rubyonrails.org/contributors/jonathan-hefner/commits
senny,Yves Senn,2069,https://contributors.rubyonrails.org/contributors/yves-senn/commits
Ridhwana,Carlos Antonio da Silva,2039,https://contributors.rubyonrails.org/contributors/carlos-antonio-da-silva/commits
spastorino,Santiago Pastorino,1984,https://contributors.rubyonrails.org/contributors/santiago-pastorino/commits
kaspth,Kasper Timm Hansen,1767,https://contributors.rubyonrails.org/contributors/kasper-timm-hansen/commits
sgrif,Siân Griffin,1453,https://contributors.rubyonrails.org/contributors/sian-griffin/commits
pixeltrix,Andrew White,1328,https://contributors.rubyonrails.org/contributors/andrew-white/commits
matthewd,Matthew Draper,1298,https://contributors.rubyonrails.org/contributors/matthew-draper/commits
vijaydev,Vijay Dev,1275,https://contributors.rubyonrails.org/contributors/vijay-dev/commits
zzak,Guillermo Iguaran,1273,https://contributors.rubyonrails.org/contributors/guillermo-iguaran/commits
josh,Josh Peek,1228,https://contributors.rubyonrails.org/contributors/josh-peek/commits
jonleighton,Jon Leighton,1209,https://contributors.rubyonrails.org/contributors/jon-leighton/commits
amatsuda,Akira Matsuda,1180,https://contributors.rubyonrails.org/contributors/akira-matsuda/commits
y-yagi,Yuuji Yaginuma,1151,https://contributors.rubyonrails.org/contributors/yuuji-yaginuma/commits
zzak,zzak,1131,https://contributors.rubyonrails.org/contributors/zzak/commits
lifo,Pratik Naik,1093,https://contributors.rubyonrails.org/contributors/pratik-naik/commits
Ridhwana,Petrik de Heus,905,https://contributors.rubyonrails.org/contributors/petrik-de-heus/commits
wycats,Yehuda Katz,896,https://contributors.rubyonrails.org/contributors/yehuda-katz/commits
yahonda,Yasuo Honda,828,https://contributors.rubyonrails.org/contributors/yasuo-honda/commits
vipulnsward,Vipul A M,827,https://contributors.rubyonrails.org/contributors/vipul-a-m/commits
skipkayhil,Hartley McGuire,818,https://contributors.rubyonrails.org/contributors/hartley-mcguire/commits
georgeclaghorn,George Claghorn,783,https://contributors.rubyonrails.org/contributors/george-claghorn/commits
NZKoz,Michael Koziarski,775,https://contributors.rubyonrails.org/contributors/michael-koziarski/commits
jhawthorn,John Hawthorn,762,https://contributors.rubyonrails.org/contributors/john-hawthorn/commits
arunagw,Arun Agrawal,646,https://contributors.rubyonrails.org/contributors/arun-agrawal/commits
miloops,Emilio Tagua,609,https://contributors.rubyonrails.org/contributors/emilio-tagua/commits
